,5-year,7-year,15-year,20-year,5-year SL,15-year SL,20-year SL,39-year SL,Non-Depreciable
Generation Equipment,0.96,0,0.02,0,0,0,0.02,0,0
Balance of Plant,0.5,0,0,0,0,0.5,0,0,0
Interconnection,0,0,1,0,0,0,0,0,0
Development Costs & Fee,0.8,0,0,0,0,0.05,0.05,0,0.1
Reserves & Financing Costs,0,0,0,0,0,0,0.5,0,0.5
