Project/Contract Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
5 Year MACRS,0.2,0.32,0.192,0.1152,0.1152,0.0576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 Year MACRS,0.1429,0.2449,0.1749,0.1249,0.0893,0.0892,0.0893,0.0446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 Year MACRS,0.05,0.095,0.0855,0.077,0.0693,0.0623,0.059,0.059,0.0591,0.059,0.0591,0.059,0.0591,0.059,0.0591,0.0295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 Year MACRS,0.0375,0.07219,0.06677,0.06177,0.05713,0.05285,0.04888,0.04522,0.04462,0.04461,0.04462,0.04461,0.04462,0.04461,0.04462,0.04461,0.04462,0.04461,0.04462,0.04461,0.02231,0,0,0,0,0,0,0,0,0
5 Year SL,0.1,0.2,0.2,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 Year SL,0.0333,0.0667,0.0667,0.0667,0.0667,0.0667,0.0667,0.0667,0.0667,0.0667,0.0667,0.0666,0.0666,0.0666,0.0666,0.0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 Year SL,0.025,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0,0,0,0,0,0,0,0,0
39 Year SL,0.0128,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256
Bonus Depreciation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
